Taxa(Species/Node),Isolate(SpecimenID/repeat),Centroid_size,Tube_curvature,Lobe_area_ratio,Tube_dilation,Lobe_recurvation
Node_03,rep_039,114515.853,0.000530237,0.075789111,1.499999433,321.6877381
Node_03,rep_040,114133.9851,0.000517251,0.071389199,1.497591543,285.8553521
Node_03,rep_041,113645.3239,0.000593336,0.073322859,1.490913499,329.66522
Node_03,rep_042,113090.1471,0.000553959,0.073344259,1.509425882,317.3707225
Node_03,rep_043,113330.5788,0.000545342,0.074668113,1.480029124,304.2451167
Node_03,rep_044,113496.8816,0.000586708,0.076017538,1.498639801,333.6406288
Node_03,rep_045,113829.4605,0.000584648,0.073853813,1.517707147,307.9520949
Node_03,rep_046,113634.5395,0.000538012,0.072199843,1.516318761,292.5168399
Node_03,rep_047,113716.3774,0.000535231,0.073421148,1.502183429,308.6198945
Node_03,rep_048,113560.5688,0.000599662,0.07411143,1.498451835,330.0033864
Node_03,rep_049,114176.3938,0.000526374,0.072940858,1.481812342,321.2269107
Node_03,rep_050,113515.0809,0.000555948,0.073323721,1.513504004,316.3945399
Node_03,rep_051,113724.8323,0.000568173,0.076249312,1.502962636,324.9862762
Node_03,rep_052,114062.8553,0.000586466,0.075392447,1.497001237,333.2139817
